ID,Name,Concepticon_ID,Concepticon_Gloss,French_Gloss,Latin_Gloss,Number
Gauchat-1925-480-346_jeneledis,I say that to nobody,,,Je ne le dis,dīco,346
Gauchat-1925-480-347_quaeux,than to them,,,qu’à eux,illōru,347
Gauchat-1925-480-348_ilfrappe,It beats,,,Il frappe,fĕrit,348
Gauchat-1925-480-349_uneheure,one o'clock,,,une heure,hōra,349
Gauchat-1925-480-350_pasdefumee,No smoke,,,Pas de fumée,fumaria,350
Gauchat-1925-480-351_sansfeu,without fire,,,sans feu,fŏcu,351
Gauchat-1925-480-352_laflamme,The flame,889,FLAME,La flamme,flamma,352
Gauchat-1925-480-353_estchaude,is hot (feminine),,,est chaude,cal(i)da,353
Gauchat-1925-480-354_levoisin,The neighbor,1332,NEIGHBOUR,Le voisin,vicīnu,354
Gauchat-1925-480-355_estarrive,arrived,,,est arrivé,adripatu,355
Gauchat-1925-480-356_lavoisine,The neighbor (feminine),,,La voisine,vicīna,356
Gauchat-1925-480-357_estarrivee,(has) arrived,,,(est) arrivée,adripata,357
Gauchat-1925-480-358_ilestvieuxelleestvieille,"(He is) old, (she is) old",2112,OLD (AGED),"(Il est) vieux, (Elle est) vieille","vĕclu, -cla",358
Gauchat-1925-480-359_laidlaide,"ugly, ugly (feminine)",1548,UGLY,"laid, laide","pūtidu, -da",359
Gauchat-1925-480-360_sourdsourde,"deaf, deaf (feminine)",996,DEAF,"sourd, sourde","sŭrdu, -da",360
Gauchat-1925-480-361_pauvremetf,poor (masculine and feminine),1674,POOR,pauvre (m. et f.),"pauperu, -ra",361
Gauchat-1925-480-362_fierfiere,"proud, proud (feminine)",174,PROUD,"fier, fière","fĕru, -ra",362
Gauchat-1925-480-363_dimanche,Sunday,1699,SUNDAY,Dimanche,dīe domĭnica,363
Gauchat-1925-480-364_lundi,Monday,1697,MONDAY,lundi,dīe lūnæ,364
Gauchat-1925-480-365_jeudi,Thursday,1693,THURSDAY,jeudi,dīe jŏvis,365
Gauchat-1925-480-366_combien,How much,531,HOW MUCH,Combien,waigaro,366
Gauchat-1925-480-367_demonnaie,of money,,,de monnaie,monēta,367
Gauchat-1925-480-368_astu,do you have,,,as-tu,ha(be)s tū,368
Gauchat-1925-480-369_encore,still,2919,STILL (CONTINUING),encore,anque ad hōra,369
Gauchat-1925-480-370_jenai,I do not have,,,J’en ai,ĭnde habeo,370
Gauchat-1925-480-371_assez,enough,1881,ENOUGH,assez,prōde,371
Gauchat-1925-480-372_plusquetoi,more than you,,,plus que toi,magis,372
Gauchat-1925-480-373_ayez,You have,,,Ayez,habeatis,373
Gauchat-1925-480-374_pitie,pity,1141,PITY,pitié,pietate,374
Gauchat-1925-480-375_decetouvrier,with this worker,,,de cet ouvrier,operariu,375
Gauchat-1925-480-376_ilnapaslasante,(He does not have) good health,,,(Il n’a pas) la santé,sanitate,376
Gauchat-1925-480-377_quelle,What kind of (feminine),,,Quelle,quīna?,377
Gauchat-1925-480-378_pauvrete,poverty,,,pauvreté,paupertate,378
Gauchat-1925-480-379_ilveut,He wants,,,Il veut,vŏlet,379
Gauchat-1925-480-380_changer,to change,2856,CHANGE (SOMETHING),changer,cambiare,380
Gauchat-1925-480-381_demetier,the profession,,,de métier,ministĕriu,381
Gauchat-1925-480-382_lasemaine,The week,1469,WEEK,La semaine,septimana,382
Gauchat-1925-480-383_passee,past,,,passée,passata,383
Gauchat-1925-480-384_jemesuisfait,I made myself,,,je me suis fait,sŭm factu,384
Gauchat-1925-480-385_uneentorse,a sprain,,,une entorse,intŏrsa,385
Gauchat-1925-480-386_jaieu,I have had,,,J’ai eu,habūtu,386
Gauchat-1925-480-387_lafievre,the fever,1534,FEVER,la fièvre,fĕbre,387
Gauchat-1925-480-388_lemedecin,the doctor,597,PHYSICIAN,Le médecin,mĕdicu,388
Gauchat-1925-480-389_adu,had to,,,a dû,debūtu,389
Gauchat-1925-480-390_venir,come,1446,COME,venir,venīre,390
Gauchat-1925-480-391_ilmadonne,He gave me,,,Il m’a donné,bajulatu,391
Gauchat-1925-480-392_unepoudre,a powder,3368,POWDER,une poudre,pŭlvere,392
Gauchat-1925-480-393_blanche,white (feminine),,,blanche,blanca,393
Gauchat-1925-480-394_jaune,yellow,1424,YELLOW,jaune,galbina,394
Gauchat-1925-480-395_rouge,red,156,RED,rouge,rŭbea,395
Gauchat-1925-480-396_verte,green,1425,GREEN,verte,vĭrida,396
Gauchat-1925-480-397_jaipris,I took,,,J’ai pris,prē(hen)su,397
Gauchat-1925-480-398_unegoutte,a drop,2087,DROP (CLASSIFIER),une goutte,gŭtta,398
Gauchat-1925-480-399_degentiane,of gentian,,,de gentiane,gentiana,399
Gauchat-1925-480-400_celamaaide,(This) helped (me),,,(Cela m’a) aidé,adjutatu,400
Gauchat-1925-480-401_ameguerir,to cure,499,CURE,à me guérir,warīre,401
Gauchat-1925-480-402_maintenant,Now,1376,NOW,Maintenant,ad hōra,402
Gauchat-1925-480-403_jesuisgueri,I am cured,,,je suis guéri,sŭm warītu,403
Gauchat-1925-480-404_guerie,cured (feminine),,,guérie,warīta,404
Gauchat-1925-480-405_ellessontgueries,(They are) healed (feminine),,,(Elles sont) guéries,warītas,405
Gauchat-1925-480-406_ilamal,he has pain,,,Il a mal,malu,406
Gauchat-1925-480-407_aupied,in the foot,,,au pied,pĕde,407
Gauchat-1925-480-408_augenou,(in the) knee,1371,KNEE,(au) genou,genŭclu,408
Gauchat-1925-480-409_aucoude,(in the) elbow,981,ELBOW,(au) coude,cŭbitu,409
Gauchat-1925-480-410_audoigt,(in the) finger,1303,FINGER,(au) doigt,dĭgitu,410
Gauchat-1925-480-411_aupouce,(in the) thumb,1781,THUMB,(au) pouce,pŏllice,411
Gauchat-1925-480-412_aunez,(in the) nose,1221,NOSE,(au) nez,nasu,412
Gauchat-1925-480-413_auxdents,(in the) teeth,1380,TOOTH,aux dents,dĕntes,413
Gauchat-1925-480-414_aucou,(in the) neck,1333,NECK,(au) cou,collu,414
Gauchat-1925-480-415_aucur,(in the) heart,1223,HEART,(au) cœur,cŏr,415
Gauchat-1925-480-416_alacuisse,(in the) thigh,800,THIGH,(à la) cuisse,cŏxa,416
Gauchat-1925-480-417_aunecote,(in one) rib,801,RIB,(à une) côté,cŏsta,417
Gauchat-1925-480-418_aunil,in one eye,,,à un œil,ŏclu,418
Gauchat-1925-480-419_auxyeux,in the eyes,,,aux yeux,ŏclos,419
Gauchat-1925-480-420_alalangue,(in the) tongue,1205,TONGUE,(à la) langue,lĭngua,420
Gauchat-1925-480-421_alatete,(in the) head,1256,HEAD,(à la) tête,tĕsta,421
Gauchat-1925-480-422_aunongle,(in one) nail,1258,FINGERNAIL,(à un) ongle,ŭngla,422
Gauchat-1925-480-423_auneoreille,(in one) ear,1247,EAR,(à une) oreille,"aurĭcla, -ŭcla",423
Gauchat-1925-480-424_ilesttombe,He fell,,,Il est tombé,"cadūtu, -ēctu",424
Gauchat-1925-480-425_elleesttombee,(she) fell,,,(elle est) tombée,"cadūta, -ēcta",425
Gauchat-1925-480-426_sursonderriere,on his/her buttocks,,,sur son derrière,cūlu,426
Gauchat-1925-480-427_iltombe,He falls,,,Il tombe,cadit,427
Gauchat-1925-480-428_toujours,always,1676,ALWAYS,toujours,ad id ĭpsu,428
Gauchat-1925-480-429_ilalebras,He has the arm,,,Il a le bras,brachiu,429
Gauchat-1925-480-430_nu,naked,590,NAKED,nu,nūdu,430
Gauchat-1925-480-431_lamain,the hand,1277,HAND,la main,manu,431
Gauchat-1925-480-432_nue,naked (feminine),,,nue,nūda,432
Gauchat-1925-480-433_soncorps,His/her body,,,Son corps,cŏrpus,433
Gauchat-1925-480-434_estmaigre,is skinny,1400,THIN (SLIM),est maigre,macru,434
Gauchat-1925-480-435_lapeau,The skin,763,SKIN,La peau,pĕlle,435
Gauchat-1925-480-436_estepaisse,is thick,,,est épaisse,spĭssa,436
Gauchat-1925-480-437_los,The bone,1394,BONE,L’os,ŏssu,437
Gauchat-1925-480-438_estepais,(is) thick,1244,THICK,(est) épais,spĭssu,438
Gauchat-1925-480-439_ilestdroit,He is right,,,Il est droit,dirēctu,439
Gauchat-1925-480-440_jetue,I kill,,,Je tue,tūto,440
Gauchat-1925-480-441_unemouche,a fly,1504,FLY (INSECT),une mouche,mŭsca,441
Gauchat-1925-480-442_unearaignee,(a) spider,843,SPIDER,(une) araignée,aranea,442
Gauchat-1925-480-443_unefourmi,an ant,587,ANT,une fourmi,"formīcu, -a",443
Gauchat-1925-480-444_uneguepe,(a) wasp,1517,WASP,(une) guêpe,wĕspa,444
Gauchat-1925-480-445_unepuce,(a) flea,232,FLEA,(une) puce,pūlice,445
Gauchat-1925-480-446_unpou,(a) louse,1392,LOUSE,(un) pou,pedŭclu,446
Gauchat-1925-480-447_lechasseur,The hunter,1053,HUNTER,Le chasseur,captiatōre,447
Gauchat-1925-480-448_avu,saw,,,a vu,vidūtu,448
Gauchat-1925-480-449_unlievre,a hare,1190,HARE,un lièvre,lĕpore,449
Gauchat-1925-480-450_unloup,(a) wolf,522,WOLF,(un) loup,lŭpu,450
Gauchat-1925-480-451_unsanglier,(a) wild boar,3154,WILD BOAR,(un) sanglier,singulare,451
Gauchat-1925-480-452_unaigle,(an) eagle,1905,EAGLE,(un) aigle,aquila,452
Gauchat-1925-480-453_unbel,a nice,,,un bel,bĕllu,453
Gauchat-1925-480-454_oiseauvert,green bird,,,oiseau vert,aucĕllu vĭride,454
Gauchat-1925-480-455_loiseau,The bird,937,BIRD,L‘oiseau,aucĕllu,455
Gauchat-1925-480-456_fait,makes,,,fait,facit,456
Gauchat-1925-480-457_sonnid,its nest,,,son nid,nīdu,457
Gauchat-1925-480-458_danslarbre,in the tree,,,dans l’arbre,arbore,458
Gauchat-1925-480-459_lepoussin,The chick,2512,CHICK,Le poussin,pullicīnu,459
Gauchat-1925-480-460_adesailes,has wings,,,a des ailes,alas,460
Gauchat-1925-480-461_desplumes,of feathers,,,des plumes,plūmas,461
Gauchat-1925-480-462_lechat,The cat,1208,CAT,Le chat,cattu,462
Gauchat-1925-480-463_alepoil,has hair,,,a le poil,pĭlu,463
Gauchat-1925-480-464_blanc,white,1335,WHITE,blanc,blancu,464
Gauchat-1925-480-465_laqueue,the tail,1220,TAIL,la queue,cōda,465
Gauchat-1925-480-466_jaune,yellow (1),,,jaune,galbina,466
Gauchat-1925-480-467_unune,"one, one (feminine)",1493,ONE,"un, une","ūnu, ūna",467
Gauchat-1925-480-468_deux,two,1498,TWO,deux,"dŭo, dŭas",468
Gauchat-1925-480-469_trois,three,492,THREE,trois,trēs,469
Gauchat-1925-480-470_quatre,four,1500,FOUR,quatre,quatt(u)or,470
Gauchat-1925-480-471_cinq,five,493,FIVE,cinq,cīnque,471
Gauchat-1925-480-472_six,six,1703,SIX,six,sĕx,472
Gauchat-1925-480-473_sept,seven,1704,SEVEN,sept,sĕpte,473
Gauchat-1925-480-474_huit,eight,1705,EIGHT,huit,ŏctu,474
Gauchat-1925-480-475_neuf,nine,1483,NINE,neuf,nŏve,475
Gauchat-1925-480-476_dix,ten,1515,TEN,dix,dĕce,476
Gauchat-1925-480-477_onze,eleven,1706,ELEVEN,onze,ŭndeci,477
Gauchat-1925-480-478_douze,twelve,1707,TWELVE,douze,d(u)ōdeci,478
Gauchat-1925-480-479_vingt,twenty,1710,TWENTY,vingt,vigĭnti,479
Gauchat-1925-480-480_cent,hundred,1634,HUNDRED,cent,cĕntu,480
