Grapheme	Graphemes	IPA	Frequency	Sound_Types	CLTS
a̱ͦó	a̱ͦó	ɒo	1	diphthong	from rounded open back to rounded close-mid back diphthong
à͜ė	à͜ė	aə	1	diphthong	from unrounded open front to unrounded mid central diphthong
ằĭ	ằĭ	aɪ	1	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ằė̱	ằė̱	aə	1	diphthong	from unrounded open front to unrounded mid central diphthong
ī̩ė̱	ī̩ė̱	iːə	3	diphthong	from long unrounded close front to unrounded mid central diphthong
īè̱	īè̱	iːɛ	183	diphthong	from long unrounded close front to unrounded open-mid front diphthong
ēi̱	ēi̱	eːi	1	diphthong	from long unrounded close-mid front to unrounded close front diphthong
ằ͜ĭ̀	ằ͜ĭ̀	aɪ	1	diphthong	from unrounded open front to unrounded near-close near-front diphthong
ằi	ằi	ai	8	diphthong	from unrounded open front to unrounded close front diphthong
g	g	g	606	consonant	voiced velar stop consonant
y̆̍	y̆̍	j	37	consonant	voiced palatal approximant consonant
ẓ̍	ẓ̍	ðˡ	16	consonant	with-lateral-release voiced dental fricative consonant
é̱	é̱	e	50	vowel	unrounded close-mid front vowel
d̮	d̮	dʲ	132	consonant	palatalized voiced alveolar stop consonant
a̱ṑ	a̱ṑ	aɔː	23	diphthong	from unrounded open front to long rounded open-mid back diphthong
oͮ̄	oͮ̄	oː	51	vowel	long rounded close-mid back vowel
èè̱	èè̱	ɛː	1	vowel	long unrounded open-mid front vowel
a͜ó̱	a͜ó̱	ao	40	diphthong	from unrounded open front to rounded close-mid back diphthong
aó̱	aó̱	ao	16	diphthong	from unrounded open front to rounded close-mid back diphthong
ū̩̀	ū̩̀	ʏː	2	vowel	long rounded near-close near-front vowel
ʋ̩̄	ʋ̩̄	uː	31	vowel	long rounded close back vowel
ė̱ʋ̄̀	ė̱ʋ̄̀	əʊː	1	diphthong	from unrounded mid central to long rounded near-close near-back diphthong
a͜ò̱	a͜ò̱	aɔ	32	diphthong	from unrounded open front to rounded open-mid back diphthong
ăŏ̀	ăŏ̀	aɔ	1	diphthong	from unrounded open front to rounded open-mid back diphthong
ăoͮ	ăoͮ	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
è̃ė̱	è̃ė̱	ɛ̃ə	1	diphthong	from nasalized unrounded open-mid front to unrounded mid central diphthong
è̃a̱	è̃a̱	ɛ̃a	1	diphthong	from nasalized unrounded open-mid front to unrounded open front diphthong
oͮ̄ʋ̱	oͮ̄ʋ̱	oːu	2	diphthong	from long rounded close-mid back to rounded close back diphthong
ē̃	ē̃	ẽː	1	vowel	long nasalized unrounded close-mid front vowel
ò͜ó	ò͜ó	ɔo	10	diphthong	from rounded open-mid back to rounded close-mid back diphthong
ăó̃	ăó̃	aõ	2	diphthong	from unrounded open front to nasalized rounded close-mid back diphthong
ʋ̩̄ė̱	ʋ̩̄ė̱	uːə	1	diphthong	from long rounded close back to unrounded mid central diphthong
oʋ	oꭒ	ou	8	diphthong	from rounded close-mid back to rounded close back diphthong
ṓʋ̱	ṓʋ̱	oːu	24	diphthong	from long rounded close-mid back to rounded close back diphthong
a̱ó̩	a̱ó̩	ao	1	diphthong	from unrounded open front to rounded close-mid back diphthong
ṓė̱	ṓė̱	oːə	20	diphthong	from long rounded close-mid back to unrounded mid central diphthong
ʋ̄ė̱	ʋ̄ė̱	uːə	45	diphthong	from long rounded close back to unrounded mid central diphthong
ë̄	ë̄	ɛː	20	vowel	long unrounded open-mid front vowel
œ̀i	œ̀i	œi	2	diphthong	from rounded open-mid front to unrounded close front diphthong
ū̀	ū̀	ʏː	44	vowel	long rounded near-close near-front vowel
ĕ́ă	ĕ́ă	ea	2	diphthong	from unrounded close-mid front to unrounded open front diphthong
ḗė̱	ḗė̱	eːə	14	diphthong	from long unrounded close-mid front to unrounded mid central diphthong
éė̱	éė̱	eə	1	diphthong	from unrounded close-mid front to unrounded mid central diphthong
ù	ù	ʏ	21	vowel	rounded near-close near-front vowel
è̩	è̩	ɛ	44	vowel	unrounded open-mid front vowel
ū̩ė̱	ū̩ė̱	ʏə	1	diphthong	from rounded near-close near-front to unrounded mid central diphthong
ė͜i	ė͜i	əi	1	diphthong	from unrounded mid central to unrounded close front diphthong
u̇ė̱	u̇ė̱	ʏə	1	diphthong	from rounded near-close near-front to unrounded mid central diphthong
ŭ̩è̱	ŭ̩è̱	yɛ	1	diphthong	from rounded close front to unrounded open-mid front diphthong
g̱	g̱	g	21	consonant	voiced velar stop consonant
è͋	è͋	ɛ	9	vowel	unrounded open-mid front vowel
ĭ̩t̮è	ĭ̩ t̮ è	i t e	1	unknownsound	
i̱ė	i̱ė	iə	1	diphthong	from unrounded close front to unrounded mid central diphthong
a̱è̃	a̱è̃	aɛ̃	42	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
è̩̃	è̩̃	ɛ̃	26	vowel	nasalized unrounded open-mid front vowel
tç̵̑	tç̵̑	tɕ	31	consonant	voiceless alveolo-palatal sibilant affricate consonant
óï	óï	oɪ	1	diphthong	from rounded close-mid back to unrounded near-close near-front diphthong
aͤ͜è̱	aͤ͜è̱	æɛ	1	diphthong	from unrounded near-open front to unrounded open-mid front diphthong
ắe̱	ắe̱	ɑe	1	diphthong	from unrounded open back to unrounded close-mid front diphthong
ăi̱	ăi̱	ai	2	diphthong	from unrounded open front to unrounded close front diphthong
œ̩̄́	œ̩̄́	øː	7	vowel	long rounded close-mid front vowel
a̱è̄̃	a̱è̄̃	aɛ̃ː	11	diphthong	from unrounded open front to long nasalized unrounded open-mid front diphthong
è̩̄̃	è̩̄̃	ɛ̃ː	7	vowel	long nasalized unrounded open-mid front vowel
a͜a	a͜a	aː	1	vowel	long unrounded open front vowel
ā̃	ā̃	ãː	134	vowel	long nasalized unrounded open front vowel
ã̩	ã̩	ã	37	vowel	nasalized unrounded open front vowel
è̩̃ĩ̱	è̩̃ĩ̱	ɛ̃i	10	diphthong	from nasalized unrounded open-mid front to unrounded close front diphthong
a̱aͤ̃	a̱aͤ̃	aæ̃	2	diphthong	from unrounded open front to nasalized unrounded near-open front diphthong
l̄	l̄	lː	62	consonant	long voiced alveolar lateral approximant consonant
ĕ̩	ĕ̩	e	18	vowel	unrounded close-mid front vowel
ė̩a	ė̩a	əa	1	diphthong	from unrounded mid central to unrounded open front diphthong
ëa	ëa	ɛa	1	diphthong	from unrounded open-mid front to unrounded open front diphthong
œ̀̃õ̱	œ̀̃õ̱	œ̃o	1	diphthong	from nasalized rounded open-mid front to rounded close-mid back diphthong
ë̩o̱	ë̩o̱	ɛo	1	diphthong	from unrounded open-mid front to rounded close-mid back diphthong
ĭ̀	ĭ̀	ɪ	53	vowel	unrounded near-close near-front vowel
œ̆̀͜oͮ	œ̆̀͜oͮ	œo	1	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ëi̱	ëi̱	ɛi	1	diphthong	from unrounded open-mid front to unrounded close front diphthong
œ̄u̱	œ̄u̱	øːy	8	diphthong	from long rounded close-mid front to rounded close front diphthong
ooͮ̄	ooͮ̄	oː	1	vowel	long rounded close-mid back vowel
ẅ̑	ẅ̑	ɥ	27	consonant	voiced labio-palatal approximant consonant
uͨ	uͨ	y	8	vowel	rounded close front vowel
ẽĩ̱	ẽĩ̱	ẽi	23	diphthong	from nasalized unrounded close-mid front to unrounded close front diphthong
ā̀é̱	ā̀é̱	aːe	9	diphthong	from long unrounded open front to unrounded close-mid front diphthong
ò̄̃	ò̄̃	ɔ̃ː	24	vowel	long nasalized rounded open-mid back vowel
sãtc̵̾ç̑é	s ã tc̵̾ç̑ é	s ã tʃ ɛ	1	unknownsound	
è̱ã	è̱ã	ɛã	11	diphthong	from unrounded open-mid front to nasalized unrounded open front diphthong
è̩i	è̩i	ɛi	1	diphthong	from unrounded open-mid front to unrounded close front diphthong
ī̩a	ī̩a	iːa	16	diphthong	from long unrounded close front to unrounded open front diphthong
a̩͜è	a̩͜è	aɛ	2	diphthong	from unrounded open front to unrounded open-mid front diphthong
ă͜eͥ	ă͜eͥ	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
r̥	r̥	r	14	consonant	voiced alveolar trill consonant
ie̱	ie̱	ie	2	diphthong	from unrounded close front to unrounded close-mid front diphthong
ài̱	ài̱	ai	1	diphthong	from unrounded open front to unrounded close front diphthong
dy̓	dy̓	dʒʲ	13	consonant	palatalized voiced post-alveolar sibilant affricate consonant
i̩a	i̩a	ɪa	30	diphthong	from unrounded near-close near-front to unrounded open front diphthong
a͜è̱	a͜è̱	aɛ	11	diphthong	from unrounded open front to unrounded open-mid front diphthong
i̩ȯ̱	i̩ȯ̱	ɪɔ	2	diphthong	from unrounded near-close near-front to rounded open-mid back diphthong
é̩i	é̩i	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
ăe̱ͥ	ăe̱ͥ	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
ʋė̱	ꭒė̱	uə	9	diphthong	from rounded close back to unrounded mid central diphthong
s̄	s̄	sː	1	consonant	long voiceless alveolar sibilant fricative consonant
eaͤ̆	eaͤ̆	eæ	1	diphthong	from unrounded close-mid front to unrounded near-open front diphthong
ĕ̀ĕ̀	ĕ̀ĕ̀	ɛː	1	vowel	long unrounded open-mid front vowel
è͜è	è͜è	ɛː	3	vowel	long unrounded open-mid front vowel
ăĕ̀	ăĕ̀	aɛ	4	diphthong	from unrounded open front to unrounded open-mid front diphthong
ă͜ó	ă͜ó	ao	6	diphthong	from unrounded open front to rounded close-mid back diphthong
ā́ò̱	ā́ò̱	ɑːɔ	20	diphthong	from long unrounded open back to rounded open-mid back diphthong
ă͜ó̱	ă͜ó̱	ao	12	diphthong	from unrounded open front to rounded close-mid back diphthong
ŏ̀͜ó̱	ŏ̀͜ó̱	ɔo	2	diphthong	from rounded open-mid back to rounded close-mid back diphthong
ă͜e̱	ă͜e̱	ae	3	diphthong	from unrounded open front to unrounded close-mid front diphthong
a͜e̱	a͜e̱	ae	5	diphthong	from unrounded open front to unrounded close-mid front diphthong
èé̱	èé̱	ɛe	2	diphthong	from unrounded open-mid front to unrounded close-mid front diphthong
a̱͜ḕ	a̱͜ḕ	aɛː	8	diphthong	from unrounded open front to long unrounded open-mid front diphthong
ʋ̩	ʋ̩	u	6	vowel	rounded close back vowel
a͜oͮ	a͜oͮ	ao	6	diphthong	from unrounded open front to rounded close-mid back diphthong
o̱ͮ	o̱ͮ	o	8	vowel	rounded close-mid back vowel
ėò̃	ėò̃	əɔ̃	2	diphthong	from unrounded mid central to nasalized rounded open-mid back diphthong
uͨu̱	uͨu̱	yː	2	vowel	long rounded close front vowel
a̱ò̃	a̱ò̃	aɔ̃	24	diphthong	from unrounded open front to nasalized rounded open-mid back diphthong
u͜ằ	u͜ằ	ya	1	diphthong	from rounded close front to unrounded open front diphthong
yʋ͜ă	y ʋ͜ă	j ua	1	unknownsound	
o͜ă	o͜ă	oa	2	diphthong	from rounded close-mid back to unrounded open front diphthong
ūė̱	ūė̱	yːə	96	diphthong	from long rounded close front to unrounded mid central diphthong
ă͜oͮ	ă͜oͮ	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
a̱aͦ̄	a̱aͦ̄	aɒː	3	diphthong	from unrounded open front to long rounded open back diphthong
a̩ͤ͜ŏ́	a̩ͤ͜ŏ́	æo	2	diphthong	from unrounded near-open front to rounded close-mid back diphthong
œ̄œ̱́	œ̄œ̱́	øːø	1	diphthong	from long rounded close-mid front to rounded close-mid front diphthong
œ̆̀ʋ̱ͧ	œ̆̀ʋ̱ͧ	œʉ	10	diphthong	from rounded open-mid front to rounded close central diphthong
ãò̱̃	ãò̱̃	ãɔ	5	diphthong	from nasalized unrounded open front to rounded open-mid back diphthong
ãó̱̃	ãó̱̃	ão	14	diphthong	from nasalized unrounded open front to rounded close-mid back diphthong
œ̆͜ò̃	œ̆͜ò̃	øɔ̃	1	diphthong	from rounded close-mid front to nasalized rounded open-mid back diphthong
ūa	ūa	ỹːa	5	diphthong	from long nasalized rounded close front to unrounded open front diphthong
ė̱i	ė̱i	əi	1	diphthong	from unrounded mid central to unrounded close front diphthong
īa̱	īa̱	iːa	22	diphthong	from long unrounded close front to unrounded open front diphthong
īa	īa	iːa	7	diphthong	from long unrounded close front to unrounded open front diphthong
ẅ̱	ẅ̱	ɥ	14	consonant	voiced labio-palatal approximant consonant
ŭ̀a	ŭ̀a	ʏa	1	diphthong	from rounded near-close near-front to unrounded open front diphthong
ĭ̩	ĭ̩	i	22	vowel	unrounded close front vowel
ă͜ḕ̩	ă͜ḕ̩	aɛː	1	diphthong	from unrounded open front to long unrounded open-mid front diphthong
a͜é̩	a͜é̩	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
à͜è̱	à͜è̱	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
a͜i	a͜i	ai	3	diphthong	from unrounded open front to unrounded close front diphthong
ăi	ăi	ai	6	diphthong	from unrounded open front to unrounded close front diphthong
ĕ̀i	ĕ̀i	ɛi	8	diphthong	from unrounded open-mid front to unrounded close front diphthong
ĕ́͜i̱	ĕ́͜i̱	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
a̱͜é	a̱͜é	ae	3	diphthong	from unrounded open front to unrounded close-mid front diphthong
aͤ͜è	aͤ͜è	æɛ	1	diphthong	from unrounded near-open front to unrounded open-mid front diphthong
ā́è	ā́è	ɑːɛ	5	diphthong	from long unrounded open back to unrounded open-mid front diphthong
ae̱ͥ	ae̱ͥ	ae	2	diphthong	from unrounded open front to unrounded close-mid front diphthong
œ͜u̱	œ͜u̱	øy	2	diphthong	from rounded close-mid front to rounded close front diphthong
œ̄̀œ̱́	œ̄̀œ̱́	œːø	1	diphthong	from long rounded open-mid front to rounded close-mid front diphthong
tc̵̾	tc̵̾	tʃ	61	consonant	voiceless post-alveolar sibilant affricate consonant
ò͜ă	ò͜ă	ɔa	1	diphthong	from rounded open-mid back to unrounded open front diphthong
œ̆́u̱	œ̆́u̱	øy	3	diphthong	from rounded close-mid front to rounded close front diphthong
ì	ì	ɪ	35	vowel	unrounded near-close near-front vowel
œ̆̀ā	œ̆̀ā	œaː	2	diphthong	from rounded open-mid front to long unrounded open front diphthong
ëā	ëā	ɛaː	1	diphthong	from unrounded open-mid front to long unrounded open front diphthong
œ̆̀o	œ̆̀o	œo	1	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ā͜ò̱	ā͜ò̱	aːɔ	1	diphthong	from long unrounded open front to rounded open-mid back diphthong
ŏ̀ʋ̱	ŏ̀ʋ̱	ɔu	2	diphthong	from rounded open-mid back to rounded close back diphthong
è̃ĩ	è̃ĩ	ɛ̃ɪ̃	14	diphthong	from nasalized unrounded open-mid front to nasalized unrounded near-close near-front diphthong
ăè̃	ăè̃	aɛ̃	1	diphthong	from unrounded open front to nasalized unrounded open-mid front diphthong
m̱	m̱	m	21	consonant	voiced bilabial nasal consonant
ya͜é̱	y a͜é̱	j ae	1	unknownsound	
ă͜é̱	ă͜é̱	ae	5	diphthong	from unrounded open front to unrounded close-mid front diphthong
ãè̱̃	ãè̱̃	ãɛ	5	diphthong	from nasalized unrounded open front to unrounded open-mid front diphthong
ĩ̱	ĩ̱	ɪ̃	35	vowel	nasalized unrounded near-close near-front vowel
ā̩̃	ā̩̃	ãː	7	vowel	long nasalized unrounded open front vowel
aͤ̃ĩ̱	aͤ̃ĩ̱	æ̃i	4	diphthong	from nasalized unrounded near-open front to unrounded close front diphthong
d̯	d̯	d	19	consonant	voiced alveolar stop consonant
ò̩ʋ̱	ò̩ʋ̱	ɔu	1	diphthong	from rounded open-mid back to rounded close back diphthong
ŏ̱	ŏ̱	o	2	vowel	rounded close-mid back vowel
ò͜ó̱	ò͜ó̱	ɔo	13	diphthong	from rounded open-mid back to rounded close-mid back diphthong
œ̆̀͜ò̃	œ̆̀͜ò̃	œɔ̃	1	diphthong	from rounded open-mid front to nasalized rounded open-mid back diphthong
á̱	á̱	ɑ	6	vowel	unrounded open back vowel
ḕė̱	ḕė̱	ɛːə	1	diphthong	from long unrounded open-mid front to unrounded mid central diphthong
è̱͜é	è̱͜é	ɛe	2	diphthong	from unrounded open-mid front to unrounded close-mid front diphthong
aͤ̄e̱	aͤ̄e̱	æːe	1	diphthong	from long unrounded near-open front to unrounded close-mid front diphthong
ḗă	ḗă	eːa	8	diphthong	from long unrounded close-mid front to unrounded open front diphthong
uͨù̱	uͨù̱	yʏ	1	diphthong	from rounded close front to rounded near-close near-front diphthong
ā̩́ò̱	ā̩́ò̱	ɑːɔ	1	diphthong	from long unrounded open back to rounded open-mid back diphthong
a̱ͤ͜ó	a̱ͤ͜ó	æo	3	diphthong	from unrounded near-open front to rounded close-mid back diphthong
a̩͜ó	a̩͜ó	ao	4	diphthong	from unrounded open front to rounded close-mid back diphthong
œ̀ʋ̱ͧ	œ̀ʋ̱ͧ	œʉ	20	diphthong	from rounded open-mid front to rounded close central diphthong
ūo̱	ūo̱	ỹːo	2	diphthong	from long nasalized rounded close front to rounded close-mid back diphthong
o̱ā	o̱ā	oaː	2	diphthong	from rounded close-mid back to long unrounded open front diphthong
ʋ̱ͧ	ʋ̱ͧ	ʉ	1	vowel	rounded close central vowel
ã̱	ã̱	ã	10	vowel	nasalized unrounded open front vowel
ũ	ũ	ỹ	8	vowel	nasalized rounded close front vowel
ʋ̀	ʋ̀	ʊ	17	vowel	rounded near-close near-back vowel
uė̱	uė̱	yə	3	diphthong	from rounded close front to unrounded mid central diphthong
è̄̃ĩ̱	è̄̃ĩ̱	ɛ̃ːi	9	diphthong	from long nasalized unrounded open-mid front to unrounded close front diphthong
i̩a̩	i̩a̩	ɪa	3	diphthong	from unrounded near-close near-front to unrounded open front diphthong
ī̩ò̱	ī̩ò̱	iːɔ	3	diphthong	from long unrounded close front to rounded open-mid back diphthong
a̩ͤ̆	a̩ͤ̆	æ	6	vowel	unrounded near-open front vowel
œͦ̄	œͦ̄	ɞː	2	vowel	long rounded open-mid central vowel
t̯	t̯	t	6	consonant	voiceless alveolar stop consonant
tʋ͜è	t ʋ͜è	t ue	1	unknownsound	
ă̩è̱	ă̩è̱	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
āï̱	āï̱	aːɪ	1	diphthong	from long unrounded open front to unrounded near-close near-front diphthong
īò̱	īò̱	iːɔ	5	diphthong	from long unrounded close front to rounded open-mid back diphthong
ë̩̆	ë̩̆	ɛ	2	vowel	unrounded open-mid front vowel
ī̩e̱	ī̩e̱	iːe	1	diphthong	from long unrounded close front to unrounded close-mid front diphthong
ī̩a̱	ī̩a̱	iːa	7	diphthong	from long unrounded close front to unrounded open front diphthong
l̮̱	l̮̱	ʎ	46	consonant	voiced palatal lateral approximant consonant
ëė̱	ëė̱	ɛə	1	diphthong	from unrounded open-mid front to unrounded mid central diphthong
aͦè̱	aͦè̱	ɒɛ	5	diphthong	from rounded open back to unrounded open-mid front diphthong
œ͜ù	œ͜ù	øʏ	1	diphthong	from rounded close-mid front to rounded near-close near-front diphthong
a̩ͤ͜ó	a̩ͤ͜ó	æo	4	diphthong	from unrounded near-open front to rounded close-mid back diphthong
ōœ̱̀	ōœ̱̀	oːœ	1	diphthong	from long rounded close-mid back to rounded open-mid front diphthong
e̱i	e̱i	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
ṓ̩	ṓ̩	oː	23	vowel	long rounded close-mid back vowel
ā͜è̱	ā͜è̱	aːɛ	2	diphthong	from long unrounded open front to unrounded open-mid front diphthong
ṑ̩r	ṑ̩ r	o r	10	unknownsound	
n̯	n̯	n	2	consonant	voiced alveolar nasal consonant
ʋ̄ȯ̱	ʋ̄ȯ̱	uːɔ	11	diphthong	from long rounded close back to rounded open-mid back diphthong
eͥi̱	eͥi̱	ei	7	diphthong	from unrounded close-mid front to unrounded close front diphthong
ḗa̱	ḗa̱	eːa	1	diphthong	from long unrounded close-mid front to unrounded open front diphthong
èo	èo	ɛo	1	diphthong	from unrounded open-mid front to rounded close-mid back diphthong
l̯	l̯	l	4	consonant	voiced alveolar lateral approximant consonant
ç̵̑	ç̵̑	ɕ	7	consonant	voiceless alveolo-palatal sibilant fricative consonant
e̩ͥ	e̩ͥ	e	3	vowel	unrounded close-mid front vowel
ė̱é	ė̱é	əe	4	diphthong	from unrounded mid central to unrounded close-mid front diphthong
ĕ̩́i̱	ĕ̩́i̱	ei	2	diphthong	from unrounded close-mid front to unrounded close front diphthong
a̱ͦ	a̱ͦ	ɒ	10	vowel	rounded open back vowel
ă̱͜ĕ̀	ă̱͜ĕ̀	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ao̱	ao̱	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
ă̩͜è	ă̩͜è	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ăe̱	ăe̱	ae	1	diphthong	from unrounded open front to unrounded close-mid front diphthong
ò̱ó	ò̱ó	ɔo	10	diphthong	from rounded open-mid back to rounded close-mid back diphthong
aʋ̀	aʋ̀	aʊ	2	diphthong	from unrounded open front to rounded near-close near-back diphthong
ṓò̱	ṓò̱	oːɔ	1	diphthong	from long rounded close-mid back to rounded open-mid back diphthong
ʋ̄è̱	ʋ̄è̱	uːɛ	8	diphthong	from long rounded close back to unrounded open-mid front diphthong
e̩ͥ̄i̱	e̩ͥ̄i̱	ei	1	diphthong	from unrounded close-mid front to unrounded close front diphthong
eͥ̄	eͥ̄	eː	22	vowel	long unrounded close-mid front vowel
ė̱é̩	ė̱é̩	əe	1	diphthong	from unrounded mid central to unrounded close-mid front diphthong
ằ̱	ằ̱	a	1	vowel	unrounded open front vowel
ă̱	ă̱	a	1	vowel	unrounded open front vowel
œ̀u	œ̀u	œy	9	diphthong	from rounded open-mid front to rounded close front diphthong
aò	aò	aɔ	19	diphthong	from unrounded open front to rounded open-mid back diphthong
ă̩ḗ	ă̩ḗ	aeː	1	diphthong	from unrounded open front to long unrounded close-mid front diphthong
ăó̱	ăó̱	ao	7	diphthong	from unrounded open front to rounded close-mid back diphthong
a̩ͦ	a̩ͦ	ɑ	2	vowel	unrounded open back vowel
œ̩̆	œ̩̆	ø	2	vowel	rounded close-mid front vowel
ă̩ó̱	ă̩ó̱	ao	4	diphthong	from unrounded open front to rounded close-mid back diphthong
œ̩̀ṓ	œ̩̀ṓ	œoː	1	diphthong	from rounded open-mid front to long rounded close-mid back diphthong
ŏ̀œ̱́	ŏ̀œ̱́	ɔø	1	diphthong	from rounded open-mid back to rounded close-mid front diphthong
a̩͜ṑ	a̩͜ṑ	aɔː	1	diphthong	from unrounded open front to long rounded open-mid back diphthong
ʋ̩̄̀	ʋ̩̄̀	u	2	vowel	rounded close back vowel
ūè̱	ūè̱	ỹːɛ	8	diphthong	from long nasalized rounded close front to unrounded open-mid front diphthong
œœ̱́	œœ̱́	øː	1	vowel	long rounded close-mid front vowel
ĕã	ĕã	eã	1	diphthong	from unrounded close-mid front to nasalized unrounded open front diphthong
ëã	ëã	ɛã	1	diphthong	from unrounded open-mid front to nasalized unrounded open front diphthong
ĕ̀ã	ĕ̀ã	ɛã	2	diphthong	from unrounded open-mid front to nasalized unrounded open front diphthong
o̩ͮă	o̩ͮă	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
è̱à̃	è̱à̃	ɛã	3	diphthong	from unrounded open-mid front to nasalized unrounded open front diphthong
aͤ͋	aͤ͋	æ	3	vowel	unrounded near-open front vowel
ã̱ò̃	ã̱ò̃	ãɔ̃	19	diphthong	from nasalized unrounded open front to nasalized rounded open-mid back diphthong
ãó̃	ãó̃	ãõ	1	diphthong	from nasalized unrounded open front to nasalized rounded close-mid back diphthong
ŭ̀	ŭ̀	ʏ	50	vowel	rounded near-close near-front vowel
ȧ	ȧ	ɐ	20	vowel	unrounded near-open central vowel
ḻ	ḻ	l	10	consonant	voiced alveolar lateral approximant consonant
œ́ʋ̱	œ́ʋ̱	øu	1	diphthong	from rounded close-mid front to rounded close back diphthong
c̑	c̑	x	5	consonant	voiceless velar fricative consonant
œ̱̀	œ̱̀	œ	1	vowel	rounded open-mid front vowel
ȯ̩	ȯ̩	ɔ	4	vowel	rounded open-mid back vowel
aʋ̱̀	aʋ̱̀	aʊ	1	diphthong	from unrounded open front to rounded near-close near-back diphthong
ū̩a̱	ū̩a̱	ʏa	1	diphthong	from rounded near-close near-front to unrounded open front diphthong
ʋ̩̄a̱	ʋ̩̄a̱	uːa	5	diphthong	from long rounded close back to unrounded open front diphthong
ằ̩	ằ̩	a	11	vowel	unrounded open front vowel
ʋ̩a	ʋ̩a	ua	3	diphthong	from rounded close back to unrounded open front diphthong
oă̩	oă̩	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
u͜a̩	u͜a̩	ya	1	diphthong	from rounded close front to unrounded open front diphthong
ʋ̄a̱	ʋ̄a̱	uːa	21	diphthong	from long rounded close back to unrounded open front diphthong
e̩	e̩	e	3	vowel	unrounded close-mid front vowel
j̱	j̱	ʒ	2	consonant	voiced post-alveolar sibilant fricative consonant
œ̱̀͜ŏ́	œ̱̀͜ŏ́	œo	3	diphthong	from rounded open-mid front to rounded close-mid back diphthong
ĕ́ė̱	ĕ́ė̱	eə	1	diphthong	from unrounded close-mid front to unrounded mid central diphthong
ḕé̱	ḕé̱	ɛːe	9	diphthong	from long unrounded open-mid front to unrounded close-mid front diphthong
ȧu̱	ȧu̱	ɐy	1	diphthong	from unrounded near-open central to rounded close front diphthong
i͜ằ	i͜ằ	ia	1	diphthong	from unrounded close front to unrounded open front diphthong
a̱͜ó	a̱͜ó	ao	7	diphthong	from unrounded open front to rounded close-mid back diphthong
eͥ̆	eͥ̆	e	36	vowel	unrounded close-mid front vowel
i͜ë	i͜ë	iɛ	1	diphthong	from unrounded close front to unrounded open-mid front diphthong
ò̩̃	ò̩̃	ɔ̃	15	vowel	nasalized rounded open-mid back vowel
āa	āa	aːa	1	diphthong	from long unrounded open front to unrounded open front diphthong
āa̱	āa̱	aːa	2	diphthong	from long unrounded open front to unrounded open front diphthong
āo̱	āo̱	aːo	3	diphthong	from long unrounded open front to rounded close-mid back diphthong
a̱͜ṑ	a̱͜ṑ	aɔː	4	diphthong	from unrounded open front to long rounded open-mid back diphthong
ōė̱	ōė̱	oːə	3	diphthong	from long rounded close-mid back to unrounded mid central diphthong
ë̱͜ó	ë̱͜ó	ɛo	1	diphthong	from unrounded open-mid front to rounded close-mid back diphthong
ŏ̀͜œ̱́	ŏ̀͜œ̱́	ɔø	1	diphthong	from rounded open-mid back to rounded close-mid front diphthong
œ̩u̱	œ̩u̱	øy	1	diphthong	from rounded close-mid front to rounded close front diphthong
i͜ĕ	i͜ĕ	ie	1	diphthong	from unrounded close front to unrounded close-mid front diphthong
œ̀oͮ	œ̀oͮ	œo	2	diphthong	from rounded open-mid front to rounded close-mid back diphthong
œ̆̀œ̱́	œ̆̀œ̱́	œø	2	diphthong	from rounded open-mid front to rounded close-mid front diphthong
a͜o̱	a͜o̱	ao	2	diphthong	from unrounded open front to rounded close-mid back diphthong
ò̱͜oͮ	ò̱͜oͮ	ɔo	1	diphthong	from rounded open-mid back to rounded close-mid back diphthong
ŏ́a	ŏ́a	oa	1	diphthong	from rounded close-mid back to unrounded open front diphthong
ĕ̀ī	ĕ̀ī	ɛiː	3	diphthong	from unrounded open-mid front to long unrounded close front diphthong
aĕ̀	aĕ̀	aɛ	1	diphthong	from unrounded open front to unrounded open-mid front diphthong
ŏ̩	ŏ̩	o	19	vowel	rounded close-mid back vowel
œ̀͜u	œ̀͜u	œy	1	diphthong	from rounded open-mid front to rounded close front diphthong
aͤ̆͜ŏ́	aͤ̆͜ŏ́	æo	1	diphthong	from unrounded near-open front to rounded close-mid back diphthong
