ID	NUMBER	FRENCH	LATIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-449	449	un lièvre	lepore		
Gauchat-1925-480-450	450	(un) loup	lupu	522	WOLF
Gauchat-1925-480-451	451	(un) sanglier	singulare	1348	BOAR
Gauchat-1925-480-452	452	(un) aigle	aquila	1905	EAGLE
Gauchat-1925-480-453	453	un bel	bellu		
Gauchat-1925-480-454	454	oiseau vert	aucellu viride		
Gauchat-1925-480-455	455	l‘oiseau	aucellu		
Gauchat-1925-480-456	456	fait	facit		
Gauchat-1925-480-457	457	son nid	nidu		
Gauchat-1925-480-458	458	dans l’arbre	arbore		
Gauchat-1925-480-459	459	le poussin	pullicinu		
Gauchat-1925-480-460	460	a des ailes	alas		
Gauchat-1925-480-461	461	des plumes	plumas		
Gauchat-1925-480-462	462	le chat	cattu	1208	CAT
Gauchat-1925-480-463	463	a le poil	pilu		
Gauchat-1925-480-464	464	blanc	blancu	1335	WHITE
Gauchat-1925-480-465	465	la queue	coda	1220	TAIL
Gauchat-1925-480-466	466	jaune	galbina	1424	YELLOW
Gauchat-1925-480-467	467	un, une	unu, una	1493	ONE
Gauchat-1925-480-468	468	deux	duo, duas	1498	TWO
Gauchat-1925-480-469	469	trois	tres	492	THREE
Gauchat-1925-480-470	470	quatre	quatt(u)or	1500	FOUR
Gauchat-1925-480-471	471	cinq	cinque	493	FIVE
Gauchat-1925-480-472	472	six	sex	1703	SIX
Gauchat-1925-480-473	473	sept	septe	1704	SEVEN
Gauchat-1925-480-474	474	huit	octu	1705	EIGHT
Gauchat-1925-480-475	475	neuf	nove	1483	NINE
Gauchat-1925-480-476	476	dix	dece	1515	TEN
Gauchat-1925-480-477	477	onze	undeci	1706	ELEVEN
Gauchat-1925-480-478	478	douze	d(u)odeci	1707	TWELVE
Gauchat-1925-480-479	479	vingt	viginti	1710	TWENTY
Gauchat-1925-480-480	480	cent	centu	1634	HUNDRED
