ID	NUMBER	GLOSS	FRENCH	LATIN	CONCEPTICON_ID	CONCEPTICON_GLOSS
Gauchat-1925-480-399	399	of gentian	de gentiane	gentiana		
Gauchat-1925-480-400	400	(this) helped (me)	(cela m’a) aidé	adjutatu		
Gauchat-1925-480-401	401	to cure	à me guérir	warire		
Gauchat-1925-480-402	402	now	maintenant	ad hora	1376	NOW
Gauchat-1925-480-403	403	I am cured	je suis guéri	sum waritu		
Gauchat-1925-480-404	404	cured (feminine)	guérie	warita		
Gauchat-1925-480-405	405	(they are) healed (feminine)	(elles sont) guéries	waritas		
Gauchat-1925-480-406	406	he has pain	il a mal	malu		
Gauchat-1925-480-407	407	in the foot	au pied	pede	1301	FOOT
Gauchat-1925-480-408	408	(in the) knee	(au) genou	genuclu	1371	KNEE
Gauchat-1925-480-409	409	(in the) elbow	(au) coude	cubitu	981	ELBOW
Gauchat-1925-480-410	410	(in the) finger	(au) doigt	digitu	1303	FINGER
Gauchat-1925-480-411	411	(in the) thumb	(au) pouce	pollice	1781	THUMB
Gauchat-1925-480-412	412	(in the) nose	(au) nez	nasu	1221	NOSE
Gauchat-1925-480-413	413	(in the) teeth	aux dents	dentes		
Gauchat-1925-480-414	414	(in the) neck	(au) cou	collu	1333	NECK
Gauchat-1925-480-415	415	(in the) heart	(au) cœur	cor	1223	HEART
Gauchat-1925-480-416	416	(in the) tie	(à la) cuisse	coxa	800	THIGH
Gauchat-1925-480-417	417	(in one) side	(à une) côté	costa		
Gauchat-1925-480-418	418	in one eye	à un œil	oclu		
Gauchat-1925-480-419	419	in the eyes	aux yeux	oclos		
Gauchat-1925-480-420	420	(in the) tongue	(à la) langue	lingua	1205	TONGUE
Gauchat-1925-480-421	421	(in the) head	(à la) tête	testa	1256	HEAD
Gauchat-1925-480-422	422	(in one) nail	(à un) ongle	ungla	1258	FINGERNAIL
Gauchat-1925-480-423	423	(in one) ear	(à une) oreille	auricla, -ucla	1247	EAR
Gauchat-1925-480-424	424	he fell	il est tombé	cadutu, -ectu		
Gauchat-1925-480-425	425	(she) fell	(elle est) tombée	caduta, -ecta		
Gauchat-1925-480-426	426	on his/her back	sur son derrière	culu		
Gauchat-1925-480-427	427	he falls	il tombe	cadit	1773	GRAVE
Gauchat-1925-480-428	428	always	toujours	ad id ipsu	1676	ALWAYS
Gauchat-1925-480-429	429	he has the arm	il a le bras	brachiu		
Gauchat-1925-480-430	430	naked	nu	nudu	590	NAKED
Gauchat-1925-480-431	431	the hand	la main	manu	1277	HAND
Gauchat-1925-480-432	432	naked (feminine)	nue	nuda		
Gauchat-1925-480-433	433	his/her body	son corps	corpus		
Gauchat-1925-480-434	434	is skinny	est maigre	macru		
Gauchat-1925-480-435	435	the skin	la peau	pelle	763	SKIN
Gauchat-1925-480-436	436	is thick	est épaisse	spissa		
Gauchat-1925-480-437	437	the bone	l’os	ossu	1394	BONE
Gauchat-1925-480-438	438	(is) thick	(est) épais	spissu	1244	THICK
Gauchat-1925-480-439	439	he is right	il est droit	directu		
Gauchat-1925-480-440	440	I kill	je tue	tuto	1417	KILL
Gauchat-1925-480-441	441	a fly	une mouche	musca	1504	FLY (INSECT)
Gauchat-1925-480-442	442	(a) spider	(une) araignée	aranea	843	SPIDER
Gauchat-1925-480-443	443	an ant	une fourmi	formicu, -a	587	ANT
Gauchat-1925-480-444	444	(a) wasp	(une) guêpe	wespa	1517	WASP
Gauchat-1925-480-445	445	(a) flea	(une) puce	pullice	232	FLEA
Gauchat-1925-480-446	446	(a) louse	(un) pou	peduclu	1392	LOUSE
Gauchat-1925-480-447	447	the hunter	le chasseur	captiatore		
Gauchat-1925-480-448	448	saw	a vu	vidutu		
Gauchat-1925-480-449	449	a hare	un lièvre	lepore		
Gauchat-1925-480-450	450	(a) wolf	(un) loup	lupu	522	WOLF
Gauchat-1925-480-451	451	(a) boar	(un) sanglier	singulare	1348	BOAR
Gauchat-1925-480-452	452	(an) eagle	(un) aigle	aquila	1905	EAGLE
Gauchat-1925-480-453	453	a nice	un bel	bellu		
Gauchat-1925-480-454	454	green bird	oiseau vert	aucellu viride		
Gauchat-1925-480-455	455	the bird	l‘oiseau	aucellu		
Gauchat-1925-480-456	456	makes	fait	facit		
Gauchat-1925-480-457	457	its nest	son nid	nidu		
Gauchat-1925-480-458	458	in the tree	dans l’arbre	arbore		
Gauchat-1925-480-459	459	the chick	le poussin	pullicinu		
Gauchat-1925-480-460	460	has wings	a des ailes	alas		
Gauchat-1925-480-461	461	feathers	des plumes	plumas		
Gauchat-1925-480-462	462	the cat	le chat	cattu	1208	CAT
Gauchat-1925-480-463	463	has hair	a le poil	pilu		
Gauchat-1925-480-464	464	white	blanc	blancu	1335	WHITE
Gauchat-1925-480-465	465	the tail	la queue	coda	1220	TAIL
Gauchat-1925-480-466	466	yellow	jaune	galbina	1424	YELLOW
Gauchat-1925-480-467	467	one, one (feminine)	un, une	unu, una	1493	ONE
Gauchat-1925-480-468	468	two	deux	duo, duas	1498	TWO
Gauchat-1925-480-469	469	three	trois	tres	492	THREE
Gauchat-1925-480-470	470	four	quatre	quatt(u)or	1500	FOUR
Gauchat-1925-480-471	471	five	cinq	cinque	493	FIVE
Gauchat-1925-480-472	472	six	six	sex	1703	SIX
Gauchat-1925-480-473	473	seven	sept	septe	1704	SEVEN
Gauchat-1925-480-474	474	eight	huit	octu	1705	EIGHT
Gauchat-1925-480-475	475	nine	neuf	nove	1483	NINE
Gauchat-1925-480-476	476	ten	dix	dece	1515	TEN
Gauchat-1925-480-477	477	eleven	onze	undeci	1706	ELEVEN
Gauchat-1925-480-478	478	twelve	douze	d(u)odeci	1707	TWELVE
Gauchat-1925-480-479	479	twenty	vingt	viginti	1710	TWENTY
Gauchat-1925-480-480	480	hundred	cent	centu	1634	HUNDRED
